] | Delimitador | 46  | 25 
= | Delimitador | 46  | 27 
= | Delimitador | 46  | 28 
' | Delimitador | 46  | 30 
1 | Identificador[2] | 46  | 31 
' | Delimitador | 46  | 32 
) | Delimitador | 46  | 33 
: | Delimitador | 46  | 34 
data | Identificador[0] | 47  | 16 
+ | Operador | 47  | 21 
= | Delimitador | 47  | 22 
condicao | Identificador[1] | 47  | 24 
[ | Delimitador | 47  | 32 
0 | Identificador[2] | 47  | 33 
] | Delimitador | 47  | 34 
+ | Operador | 47  | 36 
' | Delimitador | 47  | 38 
| | Operador | 47  | 40 
Palavra | Identificador[3] | 47  | 42 
Reservada | Identificador[4] | 47  | 50 
| | Operador | 47  | 60 
' | Delimitador | 47  | 62 
+ | Operador | 47  | 63 
numLinha | Identificador[5] | 47  | 65 
+ | Operador | 47  | 75 
' | Delimitador | 47  | 76 
| | Operador | 47  | 79 
' | Delimitador | 47  | 81 
+ | Operador | 47  | 82 
str | Identificador[6] | 47  | 84 
( | Delimitador | 47  | 87 
coluna | Identificador[7] | 47  | 88 
) | Delimitador | 47  | 94 
+ | Operador | 47  | 96 
' | Delimitador | 47  | 97 
\n | Identificador[8] | 47  | 99 
' | Delimitador | 47  | 101 
linha | Identificador[0] | 48  | 16 
= | Delimitador | 48  | 22 
' | Delimitador | 48  | 24 
' | Delimitador | 48  | 25 
coluna | Identificador[0] | 49  | 16 
= | Delimitador | 49  | 23 
i | Identificador[1] | 49  | 25 
- | Operador | 49  | 27 
1 | Identificador[2] | 49 
elif | Palavra Reservada | 50  | 12 
( | Delimitador | 50  | 14 
condicao | Identificador[0] | 50  | 17 
[ | Delimitador | 50  | 25 
1 | Identificador[1] | 50  | 26 
] | Delimitador | 50  | 27 
= | Delimitador | 50  | 29 
= | Delimitador | 50  | 30 
' | Delimitador | 50  | 32 
2 | Identificador[2] | 50  | 33 
' | Delimitador | 50  | 34 
) | Delimitador | 50  | 35 
: | Delimitador | 50  | 36 
if | Palavra Reservada | 51  | 16 
( | Delimitador | 51  | 16 
len | Palavra Reservada | 51  | 19 
( | Delimitador | 51  | 20 
linha | Identificador[0] | 51  | 23 
) | Delimitador | 51  | 28 
= | Delimitador | 51  | 30 
= | Delimitador | 51  | 31 
1 | Identificador[1] | 51  | 33 
) | Delimitador | 51  | 34 
: | Delimitador | 51  | 35 
data | Identificador[0] | 52  | 20 
+ | Operador | 52  | 25 
= | Delimitador | 52  | 26 
condicao | Identificador[1] | 52  | 28 
[ | Delimitador | 52  | 36 
0 | Identificador[2] | 52  | 37 
] | Delimitador | 52  | 38 
+ | Operador | 52  | 40 
' | Delimitador | 52  | 42 
| | Operador | 52  | 44 
Operador | Identificador[3] | 52  | 46 
| | Operador | 52  | 55 
' | Delimitador | 52  | 57 
+ | Operador | 52  | 60 
numLinha | Identificador[4] | 52  | 62 
+ | Operador | 52  | 72 
' | Delimitador | 52  | 73 
| | Operador | 52  | 76 
' | Delimitador | 52  | 78 
+ | Operador | 52  | 79 
str | Identificador[5] | 52  | 81 
( | Delimitador | 52  | 84 
coluna | Identificador[6] | 52  | 85 
) | Delimitador | 52  | 91 
+ | Operador | 52  | 93 
' | Delimitador | 52  | 94 
\n | Identificador[7] | 52  | 96 
' | Delimitador | 52  | 98 
linha | Identificador[0] | 53  | 20 
= | Delimitador | 53  | 26 
' | Delimitador | 53  | 28 
' | Delimitador | 53  | 29 
coluna | Identificador[0] | 54  | 20 
= | Delimitador | 54  | 27 
i | Identificador[1] | 54  | 29 
+ | Operador | 54  | 31 
1 | Identificador[2] | 54 
else | Palavra Reservada | 55  | 16 
: | Delimitador | 55  | 18 
op | Identificador[0] | 56  | 20 
= | Delimitador | 56  | 23 
str | Identificador[1] | 56  | 25 
( | Delimitador | 56  | 28 
condicao | Identificador[2] | 56  | 29 
[ | Delimitador | 56  | 37 
0 | Identificador[3] | 56  | 38 
] | Delimitador | 56  | 39 
) | Delimitador | 56  | 40 
s | Identificador[0] | 57  | 20 
